Region,Accounting,Communications,Entrepreneurship,Finance,Human Resources,Leadership,Marketing,Sales,"Strategy &
Operations",Cloud Computing,Computer Networking,Computer Programming,Databases,Mobile Development,Operating Systems,Security Engineering,Software Engineering,Theoretical Computer Science,Web Development,Data Analysis,Data Management,Data Visualization,Machine Learning,Mathematics,Probability & Statistics,Statistical Programming
Botswana,0.97,0.46,0.94,0.38,0.14,0.96,0.65,0.8,0.96,0.23,0.05,0.04,0.1,0.07,0.46,0.41,0.14,0.07,0.03,0.29,0.17,0.71,0.08,0.06,0.19,0.03
Cameroon,0.73,0.69,0.96,0.53,0.15,0.9,0.97,0.99,0.96,0.4,0.94,0.42,0.71,0.98,0.59,0.74,0.38,0.33,0.73,0.68,0.52,1.0,0.49,0.29,0.59,0.49
Ethiopia,0.39,0.62,0.37,0.15,0.05,0.52,0.23,0.74,0.73,0.46,1.0,0.39,0.67,0.52,0.96,0.99,0.29,0.39,0.36,0.15,0.09,0.63,0.47,0.39,0.52,0.19
Ghana,0.78,0.56,0.7,0.58,0.47,0.83,0.71,0.87,0.8,0.21,0.89,0.08,0.07,0.33,0.53,0.94,0.26,0.15,0.29,0.56,0.16,0.87,0.23,0.14,0.2,0.13
Kenya,0.65,0.38,0.88,0.42,0.23,0.81,0.77,0.93,0.79,0.28,0.65,0.11,0.19,0.09,0.35,0.63,0.41,0.24,0.32,0.3,0.26,0.66,0.29,0.21,0.32,0.11
Nigeria,0.38,0.97,0.98,0.26,0.81,0.95,0.66,0.88,0.72,0.2,0.37,0.04,0.09,0.17,0.24,0.75,0.63,0.04,0.39,0.5,0.27,0.62,0.15,0.05,0.25,0.04
Rwanda,0.71,0.51,0.73,0.22,0.86,0.93,0.4,0.56,1.0,0.59,0.18,0.28,0.15,0.81,0.04,0.49,0.19,0.18,0.22,0.38,0.33,0.83,0.43,0.23,0.47,0.53
Sierra Leone,0.99,0.49,0.46,0.27,0.7,0.62,0.07,0.3,0.32,0.03,0.11,0.03,0.12,0.03,0.08,0.24,0.15,0.02,0.02,0.7,0.47,0.28,0.04,0.01,0.46,0.02
Somalia,0.07,0.08,0.01,0.01,0.02,0.08,0.01,0.14,0.3,0.04,0.47,0.01,0.02,0.02,0.01,0.19,0.04,0.01,0.27,0.05,0.01,0.99,0.01,0.02,0.04,0.04
South Africa,0.72,0.37,0.57,0.54,0.24,0.67,0.75,0.89,0.71,0.54,0.63,0.36,0.48,0.5,0.56,0.71,0.5,0.63,0.77,0.37,0.63,0.94,0.51,0.54,0.39,0.26
Uganda,0.92,0.79,0.93,0.47,0.89,0.96,0.56,0.78,0.93,0.19,0.95,0.24,0.16,0.35,0.96,0.96,0.24,0.36,0.46,0.32,0.44,0.91,0.21,0.2,0.63,0.25
